Level	Rule Name	Subject	Property	Value
WARN	annotation_whitespace	attention behavior	IAO:0000115	The sustained focus of cognitive resources on information while filtering or ignoring extraneous information.  Intended to encompass only attention to perceptual stimuli. 
WARN	annotation_whitespace	regulation of drinking preference behavior	IAO:0000115	A regulation of drinking behavior process associated with the preference over the type of liquids that are consumed. 
WARN	annotation_whitespace	regulation of alcohol preference behavior	IAO:0000115	A regulation of drinking behavior process associated with the preference over alchohol consumption. 
WARN	annotation_whitespace	regulation of eating preference behavior	IAO:0000115	A regulation of drinking behavior process associated with the preference over the type of food that is consumed. 
WARN	annotation_whitespace	regulation of saccharin preference behavior	IAO:0000115	A regulation of drinking behavior process associated with the preference over saccharing consumption. 
WARN	annotation_whitespace	regulation of addictive substance consumption preference	IAO:0000115	A regulation of consumption of an addictive sustance behavior process associated with the preference over the type of addictive sustance that is consumed. 
WARN	annotation_whitespace	regulation of cocaine consumption preference	IAO:0000115	A regulation of consumption of an addictive sustance behavior process associated with the preference over cocaine consumption. 
WARN	duplicate_exact_synonym	seizures	oboInOwl:hasExactSynonym	unprovoked seizure
WARN	duplicate_exact_synonym	epilepsy	oboInOwl:hasExactSynonym	unprovoked seizure
WARN	duplicate_exact_synonym	REM sleep behavior disorder	oboInOwl:hasExactSynonym	RBD
WARN	duplicate_exact_synonym	recurrent brief depression	oboInOwl:hasExactSynonym	RBD
WARN	duplicate_exact_synonym	pathological anxiety	oboInOwl:hasExactSynonym	hysteria
WARN	duplicate_exact_synonym	conversion disorder	oboInOwl:hasExactSynonym	hysteria
WARN	duplicate_exact_synonym	grooming behavior	oboInOwl:hasExactSynonym	groom@en
WARN	duplicate_exact_synonym	flight behavior	oboInOwl:hasExactSynonym	fly@en
WARN	duplicate_exact_synonym	discriminatory behavior	oboInOwl:hasExactSynonym	<new synonym>
WARN	duplicate_exact_synonym	bruxism	oboInOwl:hasExactSynonym	<new synonym>
WARN	duplicate_label_synonym	aggressive behavior towards humans	oboInOwl:hasExactSynonym	aggressive behavior towards humans
WARN	duplicate_label_synonym	aggressive behavior towards animals	oboInOwl:hasExactSynonym	aggressive behavior towards animals
WARN	duplicate_label_synonym	aggressive behavior towards objects	oboInOwl:hasExactSynonym	aggressive behavior towards objects
WARN	duplicate_label_synonym	aggressive behavior towards mice	oboInOwl:hasExactSynonym	aggressive behavior towards mice
WARN	duplicate_label_synonym	aggressive behavior towards women	oboInOwl:hasExactSynonym	aggressive behavior towards women
WARN	duplicate_label_synonym	aggressive behavior towards men	oboInOwl:hasExactSynonym	aggressive behavior towards men
WARN	duplicate_label_synonym	aggressive behavior towards male mice	oboInOwl:hasExactSynonym	aggressive behavior towards male mice
WARN	duplicate_label_synonym	aggressive behavior towards female mice	oboInOwl:hasExactSynonym	aggressive behavior towards female mice
WARN	duplicate_label_synonym	aggressive behavior towards inanimate objects	oboInOwl:hasExactSynonym	aggressive behavior towards inanimate objects
WARN	duplicate_label_synonym	aggressive behavior towards animate objects	oboInOwl:hasExactSynonym	aggressive behavior towards animate objects
WARN	duplicate_label_synonym	aggressive behavior towards children	oboInOwl:hasExactSynonym	aggressive behavior towards children
WARN	duplicate_label_synonym	aggressive behavior towards pups	oboInOwl:hasExactSynonym	aggressive behavior towards pups
WARN	duplicate_label_synonym	aggressive behavior towards males	oboInOwl:hasExactSynonym	aggressive behavior towards males
WARN	duplicate_label_synonym	submissive behavior towards males	oboInOwl:hasExactSynonym	submissive behavior towards males
WARN	duplicate_label_synonym	submissive behavior towards females	oboInOwl:hasExactSynonym	submissive behavior towards females
WARN	duplicate_label_synonym	submissive behavior towards male mice	oboInOwl:hasExactSynonym	submissive behavior towards male mice
WARN	duplicate_label_synonym	saltation	oboInOwl:hasExactSynonym	saltation
WARN	duplicate_label_synonym	blinking	oboInOwl:hasExactSynonym	blinking
WARN	equivalent_class_axiom_no_genus	regulation of eating behavior	RO:0002211	food consumption
WARN	equivalent_class_axiom_no_genus	regulation of drinking behavior	RO:0002211	liquid consumption
WARN	equivalent_class_axiom_no_genus	regulation of behavior	RO:0002211	behavior process
WARN	equivalent_class_axiom_no_genus	regulation of alcohol consumption	RO:0002211	alcohol consumption
WARN	equivalent_class_axiom_no_genus	regulation of cocaine consumption	RO:0002211	cocaine consumption
WARN	equivalent_class_axiom_no_genus	regulation of consumption behavior	RO:0002211	consumption behavior
WARN	equivalent_class_axiom_no_genus	regulation of consumption of an addictive substance	RO:0002211	consumption of an addictive substance
WARN	equivalent_class_axiom_no_genus	regulation of nicotine consumption	RO:0002211	nicotine consumption
WARN	equivalent_class_axiom_no_genus	regulation of morphine consumption	RO:0002211	morphine consumption
WARN	equivalent_class_axiom_no_genus	regulation of water consumption	RO:0002211	water consumption
WARN	equivalent_class_axiom_no_genus	regulation of saccharin consumption	RO:0002211	saccharin consumption
WARN	equivalent_class_axiom_no_genus	regulation of sexual activity	RO:0002211	sexual activity
WARN	equivalent_class_axiom_no_genus	regulation of behavioral response to chemical stimulus	RO:0002211	behavioral response to chemical stimulus
WARN	equivalent_class_axiom_no_genus	regulation of behavioral response to addictive substance	RO:0002211	behavioral response to addictive substance
WARN	equivalent_class_axiom_no_genus	regulation of withdrawal response	RO:0002211	withdrawal response
WARN	equivalent_class_axiom_no_genus	regulation of addiction response	RO:0002211	addiction response
WARN	missing_definition	whole body movement	IAO:0000115	
WARN	missing_definition	rhythmic behavior	IAO:0000115	
WARN	missing_definition	seizures/epilepsy	IAO:0000115	
WARN	missing_definition	emission behavior	IAO:0000115	
WARN	missing_definition	behavioral control of production of sound	IAO:0000115	
WARN	missing_definition	weaning behavior	IAO:0000115	
WARN	missing_definition	nuzzling	IAO:0000115	
WARN	missing_definition	swaying	IAO:0000115	
WARN	missing_definition	tilting	IAO:0000115	
WARN	missing_definition	yawning	IAO:0000115	
WARN	missing_definition	writhing	IAO:0000115	
WARN	missing_definition	exploration behavior	IAO:0000115	
WARN	missing_definition	agonistic behavior	IAO:0000115	
WARN	missing_definition	subordination behavior	IAO:0000115	
WARN	missing_definition	liquid preference/aversion	IAO:0000115	
WARN	missing_definition	food preference/aversion	IAO:0000115	
WARN	missing_definition	food preference	IAO:0000115	
WARN	missing_definition	food aversion	IAO:0000115	
WARN	missing_definition	saccharin preference	IAO:0000115	
WARN	missing_definition	mating frequency	IAO:0000115	
WARN	missing_definition	mating preference	IAO:0000115	
WARN	missing_definition	mating receptivity	IAO:0000115	
WARN	missing_definition	sexual display behavior	IAO:0000115	
