Level	Rule Name	Subject	Property	Value
ERROR	deprecated_boolean_datatype	behavior related to feelings experiencing	owl:deprecated	true
ERROR	duplicate_definition	active foraging behavior	IAO:0000115	Feeding behavior during which a living entity acquires food and energy by actively searching for food resources.
ERROR	duplicate_definition	active foraging behavior	IAO:0000115	Feeding behavior during which a living entity acquires food and energy by actively searching for food resources.
ERROR	duplicate_definition	smoking behavior	IAO:0000115	Consumption behavior that involves inhaling a material (such as finely ground tobacco leaves) through the nose.
ERROR	duplicate_definition	snuffing behavior	IAO:0000115	Consumption behavior that involves inhaling a material (such as finely ground tobacco leaves) through the nose.
ERROR	duplicate_definition	aggressive behavior towards inanimate objects	IAO:0000115	"\""Exhibiting a domineering, assault posture and/or hostile physical action toward inanimate objects.\"" [NBO:GVG]"
ERROR	duplicate_definition	aggressive behavior towards animate objects	IAO:0000115	"\""Exhibiting a domineering, assault posture and/or hostile physical action toward inanimate objects.\"" [NBO:GVG]"
ERROR	duplicate_definition	REM duration	IAO:0000115	"\""Duration of REM sleep.\"" [NBO:GVG]"
ERROR	duplicate_definition	NREM duration	IAO:0000115	"\""Duration of REM sleep.\"" [NBO:GVG]"
ERROR	duplicate_definition	regulation of withdrawal response	IAO:0000115	"\""Any process that modulates the frequency, rate or extent of withdrawal response.\"" [NBOC:GVG]"
ERROR	duplicate_definition	regulation of addiction response	IAO:0000115	"\""Any process that modulates the frequency, rate or extent of withdrawal response.\"" [NBOC:GVG]"
ERROR	duplicate_definition	regulation of behavioral response to chemical stimulus	IAO:0000115	"\""Any process that modulates the frequency, rate or extent of behavioral response to chemical stimulus.\"" [NBOC:GVG]"
ERROR	duplicate_definition	regulation of behavioral response to addictive substance	IAO:0000115	"\""Any process that modulates the frequency, rate or extent of behavioral response to chemical stimulus.\"" [NBOC:GVG]"
ERROR	duplicate_label	active foraging behavior	rdfs:label	active foraging behavior@en
ERROR	duplicate_label	active foraging behavior	rdfs:label	active foraging behavior@en
ERROR	missing_ontology_description	http://purl.obolibrary.org/obo/nbo.owl	dc:description	
ERROR	missing_ontology_license	http://purl.obolibrary.org/obo/nbo.owl	dc:license	
ERROR	missing_ontology_title	http://purl.obolibrary.org/obo/nbo.owl	dc:title	
ERROR	multiple_definitions	agonistic alarm	IAO:0000115	Alarm behavior triggered by agonistic actions or postures@en
ERROR	multiple_definitions	agonistic alarm	IAO:0000115	Alarm behavior triggered by agonistic actions or postures.@en
WARN	duplicate_exact_synonym	seizures	oboInOwl:hasExactSynonym	unprovoked seizure
WARN	duplicate_exact_synonym	epilepsy	oboInOwl:hasExactSynonym	unprovoked seizure
WARN	duplicate_exact_synonym	REM sleep behavior disorder	oboInOwl:hasExactSynonym	RBD
