Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	NBO:0015003	IAO:0000115	Feeding behavior during which a living entity acquires food and energy by actively searching for food resources.	
ERROR	duplicate_definition	NBO:0015004	IAO:0000115	Feeding behavior during which a living entity acquires food and energy by actively searching for food resources.	
ERROR	duplicate_definition	NBO:0015005	IAO:0000115	Consumption behavior that involves inhaling a material (such as finely ground tobacco leaves) through the nose.	
ERROR	duplicate_definition	NBO:0015009	IAO:0000115	Consumption behavior that involves inhaling a material (such as finely ground tobacco leaves) through the nose.	
ERROR	duplicate_definition	UBERON:0001606	IAO:0000115	.	
ERROR	duplicate_definition	UBERON:0004133	IAO:0000115	.	
ERROR	duplicate_definition	UBERON:0005095	IAO:0000115	.	
ERROR	duplicate_definition	UBERON:0005321	IAO:0000115	.	
ERROR	duplicate_definition	UBERON:0007690	IAO:0000115	.	
ERROR	duplicate_definition	UBERON:0010291	IAO:0000115	.	
ERROR	duplicate_definition	http://purl.obolibrary.org/obo/uberon/core#transitively_anteriorly_connected_to	IAO:0000115	.	
ERROR	duplicate_definition	http://purl.obolibrary.org/obo/uberon/core#transitively_distally_connected_to	IAO:0000115	.	
ERROR	duplicate_definition	http://purl.obolibrary.org/obo/uberon/core#transitively_proximally_connected_to	IAO:0000115	.	
ERROR	multiple_equivalent_classes	UBERON:0015021	owl:equivalentClass	c102165756f7e602c9b5f9e8f3813ec0	
ERROR	multiple_equivalent_classes	UBERON:0015021	owl:equivalentClass	cb4ac2b0fe6e0ca19f9f25c6ea243b40	
ERROR	multiple_equivalent_classes	UBERON:0015022	owl:equivalentClass	5a3b92cacedcd11b6e7653d46000ab2f	
ERROR	multiple_equivalent_classes	UBERON:0015022	owl:equivalentClass	8aed4379ad01599991722210653ac5e4	
ERROR	multiple_equivalent_classes	UBERON:0015061	owl:equivalentClass	044c1f0fcd441ab69a3ea38e832074df	
ERROR	multiple_equivalent_classes	UBERON:0015061	owl:equivalentClass	5eb5fd1037fb844225be887b27934876	
ERROR	deprecated_property_reference	RO:0002218	owl:inverseOf	RO:0002217	
ERROR	missing_label	http://purl.obolibrary.org/obo/chebi#1_STAR	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/chebi#3_STAR	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/go#gocheck_do_not_annotate	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/go#gocheck_do_not_manually_annotate	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/go#goslim_agr	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/go#goslim_aspergillus	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/go#goslim_candida	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/go#goslim_chembl	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/go#goslim_flybase_ribbon	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/go#goslim_generic	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/go#goslim_metagenomics	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/go#goslim_mouse	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/go#goslim_pir	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/go#goslim_plant	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/go#goslim_pombe	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/go#goslim_yeast	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/pato#abnormal_slim	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/pato#attribute_slim	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/pato#cell_quality	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/pato#disposition_slim	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/pato#hpo_slim	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/pato#mpath_slim	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/pato#relational_slim	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/pato#scalar_slim	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/pato#value_slim	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/uberon/core#cumbo	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/uberon/core#developmental_classification	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/uberon/core#early_development	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/uberon/core#efo_slim	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/uberon/core#emapa_ehdaa2	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/uberon/core#functional_classification	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/uberon/core#grouping_class	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/uberon/core#homology_grouping	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/uberon/core#inconsistent_with_fma	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/uberon/core#major_organ	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/uberon/core#non_informative	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/uberon/core#organ_slim	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/uberon/core#pheno_slim	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/uberon/core#phenotype_rcn	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/uberon/core#uberon_slim	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/uberon/core#upper_level	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/uberon/core#vertebrate_core	rdfs:label		
ERROR	missing_ontology_description	nbo.owl	dc11:description		
ERROR	duplicate_label	GO:0007632	rdfs:label	visual behavior	
ERROR	duplicate_label	NBO:0000314	rdfs:label	visual behavior	
ERROR	duplicate_label	GO:0035176	rdfs:label	social behavior	
ERROR	duplicate_label	NBO:0000011	rdfs:label	social behavior	
ERROR	duplicate_label	GO:0007622	rdfs:label	rhythmic behavior	
ERROR	duplicate_label	NBO:0000008	rdfs:label	rhythmic behavior	
ERROR	duplicate_label	GO:0019098	rdfs:label	reproductive behavior	
ERROR	duplicate_label	NBO:0000010	rdfs:label	reproductive behavior	
ERROR	duplicate_label	GO:1903998	rdfs:label	regulation of eating behavior	
ERROR	duplicate_label	NBO:0000063	rdfs:label	regulation of eating behavior	
ERROR	duplicate_label	GO:0045297	rdfs:label	post-mating behavior	
ERROR	duplicate_label	NBO:0000078	rdfs:label	post-mating behavior	
ERROR	duplicate_label	CARO:0010000	rdfs:label	multicellular anatomical structure	
ERROR	duplicate_label	UBERON:0010000	rdfs:label	multicellular anatomical structure	
ERROR	duplicate_label	GO:0007617	rdfs:label	mating behavior	
ERROR	duplicate_label	NBO:0000014	rdfs:label	mating behavior	
ERROR	duplicate_label	GO:0008049	rdfs:label	male courtship behavior	
ERROR	duplicate_label	NBO:0000637	rdfs:label	male courtship behavior	
ERROR	duplicate_label	GO:0007626	rdfs:label	locomotory behavior	
ERROR	duplicate_label	NBO:0000013	rdfs:label	locomotory behavior	
ERROR	duplicate_label	CARO:0000007	rdfs:label	immaterial anatomical entity	
ERROR	duplicate_label	UBERON:0000466	rdfs:label	immaterial anatomical entity	
ERROR	duplicate_label	GO:0007625	rdfs:label	grooming behavior	
ERROR	duplicate_label	NBO:0000027	rdfs:label	grooming behavior	
ERROR	duplicate_label	GO:0007629	rdfs:label	flight behavior	
ERROR	duplicate_label	NBO:0000367	rdfs:label	flight behavior	
ERROR	duplicate_label	GO:0008050	rdfs:label	female courtship behavior	
ERROR	duplicate_label	NBO:0000638	rdfs:label	female courtship behavior	
ERROR	duplicate_label	GO:0007631	rdfs:label	feeding behavior	
ERROR	duplicate_label	NBO:0000079	rdfs:label	feeding behavior	
ERROR	duplicate_label	GO:0060273	rdfs:label	crying behavior	
ERROR	duplicate_label	NBO:0000618	rdfs:label	crying behavior	
ERROR	duplicate_label	GO:0007619	rdfs:label	courtship behavior	
ERROR	duplicate_label	NBO:0000077	rdfs:label	courtship behavior	
ERROR	duplicate_label	GO:0007620	rdfs:label	copulation	
ERROR	duplicate_label	NBO:0000060	rdfs:label	copulation	
ERROR	duplicate_label	GO:0007623	rdfs:label	circadian rhythm	
ERROR	duplicate_label	NBO:0000166	rdfs:label	circadian rhythm	
ERROR	duplicate_label	GO:0048512	rdfs:label	circadian behavior	
ERROR	duplicate_label	NBO:0000084	rdfs:label	circadian behavior	
ERROR	duplicate_label	GO:0007635	rdfs:label	chemosensory behavior	
ERROR	duplicate_label	NBO:0000322	rdfs:label	chemosensory behavior	
ERROR	duplicate_label	GO:0031223	rdfs:label	auditory behavior	
ERROR	duplicate_label	NBO:0000316	rdfs:label	auditory behavior	
ERROR	duplicate_label	GO:0002118	rdfs:label	aggressive behavior	
ERROR	duplicate_label	NBO:0000015	rdfs:label	aggressive behavior	
ERROR	duplicate_label	NBO:0015003	rdfs:label	active foraging behavior@en	
ERROR	duplicate_label	NBO:0015004	rdfs:label	active foraging behavior@en	
ERROR	multiple_definitions	BFO:0000051	IAO:0000115	Q1 has_part Q2 if and only if: every instance of Q1 is a quality_of an entity that has_quality some Q2.	
ERROR	multiple_definitions	BFO:0000051	IAO:0000115	a core relation that holds between a whole and its part@en	
ERROR	multiple_definitions	BFO:0000062	IAO:0000115	X preceded_by Y iff: end(Y) before_or_simultaneous_with start(X)	
ERROR	multiple_definitions	BFO:0000062	IAO:0000115	x is preceded by y if and only if the time point at which y ends is before or equivalent to the time point at which x starts. Formally: x preceded by y iff ω(y) <= α(x), where α is a function that maps a process to a start point, and ω is a function that maps a process to an end point.@en	
ERROR	multiple_definitions	RO:0002131	IAO:0000115	A overlaps B if they share some part in common.	
ERROR	multiple_definitions	RO:0002131	IAO:0000115	x overlaps y if and only if there exists some z such that x has part z and z part of y	
ERROR	multiple_definitions	RO:0002170	IAO:0000115	Binary relationship: x connected_to y if and only if there exists some z such that z connects x and y in a ternary connected_to(x,y,z) relationship.	
ERROR	multiple_definitions	RO:0002170	IAO:0000115	a is connected to b if and only if a and b are discrete structure, and there exists some connecting structure c, such that c connects a and b	
ERROR	multiple_definitions	RO:0002176	IAO:0000115	Binary relationship: z connects x if and only if there exists some y such that z connects x and y in a ternary connected_to(x,y,z) relationship.	
ERROR	multiple_definitions	RO:0002176	IAO:0000115	c connects a if and only if there exist some b such that a and b are similar parts of the same system, and c connects b, specifically, c connects a with b. When one structure connects two others it unites some aspect of the function or role they play within the system.	
ERROR	multiple_definitions	RO:0002178	IAO:0000115	Relation between an arterial structure and another structure, where the arterial structure acts as a conduit channeling fluid, substance or energy.	
ERROR	multiple_definitions	RO:0002178	IAO:0000115	relation between an artery and the structure is supplies with blood.	
ERROR	multiple_definitions	RO:0002219	IAO:0000115	x surrounded_by y if and only if (1) x is adjacent to y and for every region r that is adjacent to x, r overlaps y (2) the shared boundary between x and y occupies the majority of the outermost boundary of x	
ERROR	multiple_definitions	RO:0002219	IAO:0000115	x surrounded_by y iff: x is adjacent to y and for every region r adjacent to x, r overlaps y	
